"Frequency (HZ)","2RV 2026-06-10 09:38:00"
0,0.25847581279493054
1.5625,0.00043133513652379393
3.125,0.0003889087296526011
4.6875,0.0004384062043356594
6.25,0.0011455129855222068
7.8125,0.0010394469683442248
9.375,0.0017324116139070412
10.9375,0.0016263455967290591
12.5,0.0027435743110038042
14.0625,0.0018314065632731578
15.625,0.002637508293825822
17.1875,0.009256027765731907
18.75,0.006512453454728102
20.3125,0.00290620887067671
21.875,0.0019304015126392746
23.4375,0.0014637110370561532
25,0.009602510088513315
26.5625,0.002022325394193526
28.125,0.0012869343417595165
29.6875,0.0009616652224137046
31.25,0.0012020815280171307
32.8125,0.0012869343417595165
34.375,0.0005303300858899106
35.9375,0.0006646803743153546
37.5,0.0006858935777509511
39.0625,0.0005939696961966999
40.625,0.0005161879502661796
42.1875,0.0005303300858899106
43.75,0.00034648232278140827
45.3125,0.0006717514421272201
46.875,0.00028991378028648445
48.4375,0.0008697413408594533
50,0.0020647518010647186
51.5625,0.0013930003589374986
53.125,0.0008202438661763951
54.6875,0.0006222539674441618
56.25,0.0007212489168102785
57.8125,0.001442497833620557
59.375,0.0010040916292848973
60.9375,0.0007212489168102785
62.5,0.0009545941546018392
64.0625,0.00036062445840513924
65.625,0.0007071067811865475
67.1875,0.0006151828996322963
68.75,0.0009121677477306461
70.3125,0.000565685424949238
71.875,0.00042426406871192844
73.4375,0.0009616652224137046
75,0.0009616652224137046
76.5625,0.0006576093065034892
78.125,0.0012374368670764581
79.6875,0.0011030865786510141
81.25,0.0015061374439273461
82.8125,0.0013647160876900366
84.375,0.0011101576464628796
85.9375,0.0008626702730475879
87.5,0.0011737972567696688
89.0625,0.001576848122046001
90.625,0.0009475230867899737
92.1875,0.0014637110370561532
93.75,0.0017253405460951757
95.3125,0.005176021638285528
96.875,0.007820600999923216
98.4375,0.008407499628308049
100,0.005366940469205895
101.5625,0.00529622979108724
103.125,0.006194255403194156
104.6875,0.007014499269370551
106.25,0.00567099638511611
107.8125,0.0033587572106361006
109.375,0.002503158005400378
110.9375,0.007509474016201134
112.5,0.0013647160876900366
114.0625,0.0015273506473629426
115.625,0.0017606958851545031
117.1875,0.0017041273426595793
118.75,0.0021071782079359115
120.3125,0.0024324473272817233
121.875,0.0017819090885900998
123.4375,0.0034718942956259483
125,0.0019657568516986018
126.5625,0.002913279938488576
128.125,0.0020293964620053916
129.6875,0.0017819090885900998
131.25,0.0014212846301849605
132.8125,0.0009475230867899737
134.375,0.001654629867976521
135.9375,0.0017819090885900998
137.5,0.0017889801564019653
139.0625,0.0012798632739476508
140.625,0.0014495689014324225
142.1875,0.0016475588001646556
143.75,0.0018667619023324854
145.3125,0.004695189027078675
146.875,0.013647160876900367
148.4375,0.0033446150750123696
150,0.003005203820042827
151.5625,0.0019940411229460637
153.125,0.0037759502115361637
154.6875,0.01349866845285119
156.25,0.004864894654563447
157.8125,0.0036274577874869885
159.375,0.0011525840533340723
160.9375,0.0007353910524340093
162.5,0.0008768124086713188
164.0625,0.0007566042558696058
165.625,0.0006222539674441618
167.1875,0.0005374011537017761
168.75,0.0008626702730475879
170.3125,0.0007353910524340093
171.875,0.001576848122046001
173.4375,0.00019798989873223328
175,0.00039597979746446656
176.5625,0.0005444722215136416
178.125,0.0005232590180780451
179.6875,0.0007071067811865475
181.25,0.000700035713374682
182.8125,0.00045254833995939044
184.375,0.0006010407640085653
185.9375,0.00036769552621700467
187.5,0.00036062445840513924
189.0625,0.0004596194077712558
190.625,0.0003889087296526011
192.1875,0.00034648232278140827
193.75,0.00048790367901871775
195.3125,0.00039597979746446656
196.875,0.0006646803743153546
198.4375,0.0007919595949289331
200,0.0034365389565666205
201.5625,0.0005161879502661796
203.125,0.00029698484809834993
204.6875,0.00023334523779156068
206.25,0.0005586143571373725
207.8125,0.0006929646455628165
209.375,0.0011384419177103415
210.9375,0.0003889087296526011
212.5,0.0005020458146424487
214.0625,0.00034648232278140827
215.625,0.00046669047558312135
217.1875,0.00036062445840513924
218.75,0.0010253048327204938
220.3125,0.00048790367901871775
221.875,0.0018031222920256963
223.4375,0.0005020458146424487
225,0.0007212489168102785
226.5625,0.0005586143571373725
228.125,0.0006010407640085653
229.6875,0.0003111269837220809
231.25,0.0005868986283848344
232.8125,0.0006363961030678927
234.375,0.00041012193308819753
235.9375,0.0006788225099390856
237.5,0.0006151828996322963
239.0625,0.0009758073580374355
240.625,0.001308147545195113
242.1875,0.0013364318164425747
243.75,0.0007212489168102785
245.3125,0.0006858935777509511
246.875,0.0005939696961966999
248.4375,0.0017253405460951757
250,0.0013222896808188437
251.5625,0.0011101576464628796
253.125,0.0008131727983645296
254.6875,0.0008838834764831843
256.25,0.0014990663761154806
257.8125,0.0012445079348883236
259.375,0.0006929646455628165
260.9375,0.0008768124086713188
262.5,0.0007990306627407986
264.0625,0.0009545941546018392
265.625,0.0008414570696119915
267.1875,0.001414213562373095
268.75,0.0005303300858899106
270.3125,0.0011384419177103415
271.875,0.001548563850798539
273.4375,0.0026233661582020914
275,0.002170817818242701
276.5625,0.002368807716974934
278.125,0.0025455844122715707
279.6875,0.001428355697996826
281.25,0.0009758073580374355
