"Frequency (HZ)","8RV-O 2026-06-10 09:42:00"
0,0.00016263455967290594
0.3125,0.00007778174593052023
0.625,0.00007778174593052023
0.9375,0.00016263455967290594
1.25,0.0004949747468305832
1.5625,0.0037759502115361637
1.875,0.01752917710561451
2.1875,0.0195797867710555
2.5,0.008923687578574228
2.8125,0.008273149339882605
3.125,0.010960155108391486
3.4375,0.00886004796826744
3.75,0.008379215357060587
4.0625,0.00997020561473032
4.375,0.007155920625607861
4.6875,0.006448813844421313
5,0.00417193000900063
5.3125,0.004037579720575186
5.625,0.0032385490578343873
5.9375,0.0038042344827836257
6.25,0.0046174072811481556
6.5625,0.0035779603128039306
6.875,0.004065863991822648
7.1875,0.0034365389565666205
7.5,0.0027789296500631317
7.8125,0.0025314422766478397
8.125,0.0034718942956259483
8.4375,0.0026445793616376874
8.75,0.0021071782079359115
9.0625,0.0017677669529663686
9.375,0.0013010764773832475
9.6875,0.0020435385976291225
10,0.0018950461735799473
10.3125,0.0019869700551341982
10.625,0.0017606958851545031
10.9375,0.0018667619023324854
11.25,0.001682914139223983
11.5625,0.0014212846301849605
11.875,0.0017253405460951757
12.1875,0.0018526197667087544
12.5,0.0016051323932934627
12.8125,0.0015697770542341355
13.125,0.0012798632739476508
13.4375,0.0011596551211459378
13.75,0.0010677312395916867
14.0625,0.0012586500705120544
14.375,0.0010465180361560902
14.6875,0.0011808683245815342
15,0.0008980256121069154
15.3125,0.0013293607486307092
15.625,0.0010889444430272832
15.9375,0.0011030865786510141
16.25,0.0010889444430272832
16.5625,0.0009192388155425116
16.875,0.001251579002700189
17.1875,0.0012727922061357853
17.5,0.001011162697096763
17.8125,0.0013293607486307092
18.125,0.0007919595949289331
18.4375,0.0006222539674441618
18.75,0.0006151828996322963
19.0625,0.0008697413408594533
19.375,0.0007636753236814713
19.6875,0.0007778174593052023
20,0.000565685424949238
20.3125,0.0009616652224137046
20.625,0.0010818733752154177
20.9375,0.0007919595949289331
21.25,0.0009899494936611664
21.5625,0.0007778174593052023
21.875,0.0006858935777509511
22.1875,0.0005161879502661796
22.5,0.0007353910524340093
22.8125,0.000700035713374682
23.125,0.0007566042558696058
23.4375,0.0010394469683442248
23.75,0.0006081118318204308
24.0625,0.00036062445840513924
24.375,0.0003394112549695428
24.6875,0.0007848885271170677
25,0.0011596551211459378
25.3125,0.0006293250352560272
25.625,0.0005939696961966999
25.9375,0.0005798275605729689
26.25,0.0008131727983645296
26.5625,0.0008485281374238569
26.875,0.0005868986283848344
27.1875,0.00037476659402887016
27.5,0.0006010407640085653
27.8125,0.000834386001800126
28.125,0.0006717514421272201
28.4375,0.0005939696961966999
28.75,0.00047376154339498684
29.0625,0.0006010407640085653
29.375,0.0006151828996322963
29.6875,0.0005444722215136416
30,0.00039597979746446656
30.3125,0.0005868986283848344
30.625,0.0003889087296526011
30.9375,0.00027577164466275353
31.25,0.0005586143571373725
31.5625,0.0006293250352560272
31.875,0.00048790367901871775
32.1875,0.0005727564927611034
32.5,0.0005515432893255071
32.8125,0.0004384062043356594
33.125,0.00045254833995939044
33.4375,0.00031819805153394633
33.75,0.0003323401871576773
34.0625,0.0004596194077712558
34.375,0.00042426406871192844
34.6875,0.00040305086527633204
35,0.0004949747468305832
35.3125,0.00041012193308819753
35.625,0.00023334523779156068
35.9375,0.00026162950903902256
36.25,0.00028991378028648445
36.5625,0.00043133513652379393
36.875,0.00026870057685088805
37.1875,0.00029698484809834993
37.5,0.00038183766184073564
37.8125,0.00032526911934581187
38.125,0.000282842712474619
38.4375,0.0005020458146424487
38.75,0.00043133513652379393
39.0625,0.00036062445840513924
39.375,0.00034648232278140827
39.6875,0.00034648232278140827
40,0.00036062445840513924
40.3125,0.00041012193308819753
