"Frequency (HZ)","4RH 2026-06-10 09:46:00"
0,0.16747824112403378
1.5625,0.0000848528137423857
3.125,0.00006363961030678928
4.6875,0.00004242640687119285
6.25,0.00004949747468305832
7.8125,0.000028284271247461902
9.375,0.000028284271247461902
10.9375,0.000014142135623730951
12.5,0.000014142135623730951
14.0625,0.000028284271247461902
15.625,0.000028284271247461902
17.1875,0.0000070710678118654756
18.75,0.00003535533905932738
20.3125,0.000021213203435596424
21.875,0.000028284271247461902
23.4375,0.000021213203435596424
25,0.000014142135623730951
26.5625,0.000028284271247461902
28.125,0.000028284271247461902
29.6875,0.00004949747468305832
31.25,0.000028284271247461902
32.8125,0.000028284271247461902
34.375,0.000028284271247461902
35.9375,0.00003535533905932738
37.5,0.00004949747468305832
39.0625,0.000028284271247461902
40.625,0.00004242640687119285
42.1875,0.00012727922061357857
43.75,0.00006363961030678928
45.3125,0.00009899494936611664
46.875,0.00004949747468305832
48.4375,0.00003535533905932738
50,0.0012657211383239198
51.5625,0.000028284271247461902
53.125,0.000021213203435596424
54.6875,0.000028284271247461902
56.25,0.00003535533905932738
57.8125,0.000014142135623730951
59.375,0.000028284271247461902
60.9375,0.000028284271247461902
62.5,0.00004242640687119285
64.0625,0.000021213203435596424
65.625,0.00004949747468305832
67.1875,0.00004949747468305832
68.75,0.00007778174593052023
70.3125,0.0000848528137423857
71.875,0.000056568542494923805
73.4375,0.00003535533905932738
75,0.000021213203435596424
76.5625,0.00007071067811865475
78.125,0.000056568542494923805
79.6875,0.00021213203435596422
81.25,0.00009899494936611664
82.8125,0.00012020815280171308
84.375,0.00020506096654409876
85.9375,0.00029698484809834993
87.5,0.0000848528137423857
89.0625,0.00019091883092036782
90.625,0.00039597979746446656
92.1875,0.00022627416997969522
93.75,0.00010606601717798211
95.3125,0.0000848528137423857
96.875,0.000028284271247461902
98.4375,0.00004242640687119285
100,0.00006363961030678928
101.5625,0.0000848528137423857
103.125,0.00010606601717798211
104.6875,0.00006363961030678928
106.25,0.000056568542494923805
107.8125,0.0000848528137423857
109.375,0.00009899494936611664
110.9375,0.00004242640687119285
112.5,0.00007071067811865475
114.0625,0.00006363961030678928
115.625,0.00004949747468305832
117.1875,0.00004242640687119285
118.75,0.0000848528137423857
120.3125,0.000056568542494923805
121.875,0.00012727922061357857
123.4375,0.00007778174593052023
125,0.0000848528137423857
126.5625,0.00037476659402887016
128.125,0.0000848528137423857
129.6875,0.00004949747468305832
131.25,0.00006363961030678928
132.8125,0.0000070710678118654756
134.375,0.000028284271247461902
135.9375,0.00007071067811865475
137.5,0.00007778174593052023
139.0625,0.00003535533905932738
140.625,0.00004949747468305832
142.1875,0.00004949747468305832
143.75,0.00004242640687119285
145.3125,0.00006363961030678928
146.875,0.00004949747468305832
148.4375,0.00007071067811865475
150,0.0007071067811865475
151.5625,0.00010606601717798211
153.125,0.0000848528137423857
154.6875,0.00004949747468305832
156.25,0.00009192388155425117
157.8125,0.00004949747468305832
159.375,0.00003535533905932738
160.9375,0.0000848528137423857
162.5,0.00009899494936611664
164.0625,0.0000848528137423857
165.625,0.00004242640687119285
167.1875,0.00006363961030678928
168.75,0.000028284271247461902
170.3125,0.00003535533905932738
171.875,0.00004949747468305832
173.4375,0.00006363961030678928
175,0.0001414213562373095
176.5625,0.000056568542494923805
178.125,0.00003535533905932738
179.6875,0.00003535533905932738
181.25,0.000056568542494923805
182.8125,0.00004242640687119285
184.375,0.000028284271247461902
185.9375,0.00004242640687119285
187.5,0.00003535533905932738
189.0625,0.00003535533905932738
190.625,0.00009192388155425117
192.1875,0.00004949747468305832
193.75,0.000056568542494923805
195.3125,0.00009192388155425117
196.875,0.00004949747468305832
198.4375,0.000056568542494923805
200,0.000056568542494923805
201.5625,0.000028284271247461902
203.125,0.00003535533905932738
204.6875,0.000056568542494923805
206.25,0.00006363961030678928
207.8125,0.000056568542494923805
209.375,0.00006363961030678928
210.9375,0.00003535533905932738
212.5,0.000028284271247461902
214.0625,0.00004242640687119285
215.625,0.00004242640687119285
217.1875,0.0000070710678118654756
218.75,0.00004949747468305832
220.3125,0.000056568542494923805
221.875,0.00006363961030678928
223.4375,0.00010606601717798211
225,0.00016263455967290594
226.5625,0.0001697056274847714
228.125,0.00013435028842544402
229.6875,0.00006363961030678928
231.25,0.000056568542494923805
232.8125,0.00003535533905932738
234.375,0.00004949747468305832
235.9375,0.000028284271247461902
237.5,0.00004949747468305832
239.0625,0.00007778174593052023
240.625,0.00009192388155425117
242.1875,0.00009899494936611664
243.75,0.00012727922061357857
245.3125,0.0000848528137423857
246.875,0.00012020815280171308
248.4375,0.0000848528137423857
250,0.0002192031021678297
251.5625,0.00007778174593052023
253.125,0.0000848528137423857
254.6875,0.00004949747468305832
256.25,0.00006363961030678928
257.8125,0.00006363961030678928
259.375,0.00019091883092036782
260.9375,0.00018384776310850234
262.5,0.00034648232278140827
264.0625,0.00036062445840513924
265.625,0.00047376154339498684
267.1875,0.00032526911934581187
268.75,0.00026870057685088805
270.3125,0.00032526911934581187
271.875,0.00019091883092036782
273.4375,0.00012020815280171308
275,0.000056568542494923805
276.5625,0.00006363961030678928
278.125,0.000028284271247461902
279.6875,0.000028284271247461902
281.25,0.00003535533905932738
282.8125,0.000028284271247461902
284.375,0.000028284271247461902
285.9375,0.000021213203435596424
287.5,0.00003535533905932738
289.0625,0.000014142135623730951
290.625,0.000021213203435596424
292.1875,0.000028284271247461902
293.75,0.000014142135623730951
295.3125,0.000014142135623730951
296.875,0.000028284271247461902
298.4375,0.000021213203435596424
300,0.000028284271247461902
301.5625,0.000028284271247461902
303.125,0.00003535533905932738
304.6875,0.000028284271247461902
306.25,0.0000070710678118654756
307.8125,0.000028284271247461902
309.375,0.000028284271247461902
310.9375,0.000014142135623730951
312.5,0.0000070710678118654756
314.0625,0.000014142135623730951
315.625,0.000014142135623730951
